"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 ",,,,,,,,,,,,,,
,,,,,Away from home,,,,,,,Away from home,,
      Household income > 300% poverty line,85.29,52.16,33.13,10.41,16.81,0.62,5.29,88.50,55.30,33.20,10.58,16.20,0.46,5.96
Sodium (mg),,,,,,,,,,,,,,
   Total population1,3410.57,2138.74,1271.83,373.66,613.25,54.94,229.98,3389.87,2109.32,1280.54,376.76,644.24,40.86,218.68
      Children age 2–19,3013.24,1832.94,1180.30,212.75,534.23,228.55,204.77,2934.18,1835.85,1098.33,172.60,566.24,171.82,187.68
      Adults age 20–642,3693.89,2271.50,1422.40,443.32,738.23,NA,240.85,3629.69,2177.55,1452.14,451.20,767.91,NA,233.03
      Seniors age 65 and above2,2946.60,2100.85,845.76,354.47,264.15,NA,227.14,3156.29,2260.46,895.83,399.11,286.35,NA,210.37
      Household income < 185% poverty line,3312.31,2159.75,1152.56,288.21,547.93,81.83,234.59,3257.18,2057.37,1199.80,256.02,662.61,62.44,218.74
      Household income 185–300% poverty line,3393.50,2196.14,1197.36,324.62,575.94,54.88,241.91,3416.97,2307.70,1109.27,283.97,620.01,44.76,160.53
      Household income > 300% poverty line,3512.72,2093.61,1419.11,477.30,692.40,29.03,220.38,3506.42,2087.39,1419.03,525.07,635.48,18.91,239.56
Note: NA = not available.,,,,,,,,,,,,,,
1Individuals who completed two-day intake recalls and were 2 years old and older.,,,,,,,,,,,,,,
2School foods eaten by those age 20 and above are classified as other food away from home.,,,,,,,,,,,,,,
"Source: 2015–16 and 2017–18 National Health and Nutrition Examination Survey (NHANES), first-day averages.",,,,,,,,,,,,,,
